timestamp,sensor_id,temperature_celsius,vibration_hz,current_amps
2026-05-26T08:00:00Z,EAF-01,1524.33,42.64,54156.15
2026-05-26T08:00:01Z,EAF-01,1523.48,49.72,51553.33
2026-05-26T08:00:02Z,EAF-01,1523.39,40.54,50161.92
2026-05-26T08:00:03Z,EAF-01,1512.12,43.51,52102.21
2026-05-26T08:00:04Z,EAF-01,1519.3,42.0,53540.18
2026-05-26T08:00:05Z,EAF-01,1528.01,46.4,50703.93
2026-05-26T08:00:06Z,EAF-01,1530.78,40.67,54706.2
2026-05-26T08:00:07Z,EAF-01,1513.11,40.4,50017.57
2026-05-26T08:00:08Z,EAF-01,1515.35,48.46,52216.24
2026-05-26T08:00:09Z,EAF-01,1522.99,49.91,54696.53
2026-05-26T08:00:10Z,EAF-01,1519.89,40.07,54088.61
2026-05-26T08:00:11Z,EAF-01,1502.78,49.36,51833.71
2026-05-26T08:00:12Z,EAF-01,1515.84,42.88,50269.58
2026-05-26T08:00:13Z,EAF-01,1520.81,49.13,50441.27
2026-05-26T08:00:14Z,EAF-01,1504.05,43.11,50504.45
2026-05-26T08:00:15Z,EAF-01,1546.37,44.21,50911.91
2026-05-26T08:00:16Z,EAF-01,1545.31,46.61,53743.72
2026-05-26T08:00:17Z,EAF-01,1517.9,44.87,54728.54
2026-05-26T08:00:18Z,EAF-01,1507.4,47.66,50919.16
2026-05-26T08:00:19Z,EAF-01,1545.72,47.17,54325.8
2026-05-26T08:00:20Z,EAF-01,1503.58,46.86,52713.84
2026-05-26T08:00:21Z,EAF-01,1532.99,41.09,54287.57
2026-05-26T08:00:22Z,EAF-01,1534.61,46.8,53551.06
2026-05-26T08:00:23Z,EAF-01,1545.92,41.1,52275.79
2026-05-26T08:00:24Z,EAF-01,1517.81,49.09,53196.79
2026-05-26T08:00:25Z,EAF-01,1543.11,44.08,54677.52
2026-05-26T08:00:26Z,EAF-01,1510.29,48.06,54298.08
2026-05-26T08:00:27Z,EAF-01,1542.9,40.78,53496.67
2026-05-26T08:00:28Z,EAF-01,1504.23,49.92,50790.77
2026-05-26T08:00:29Z,EAF-01,1544.61,46.68,54445.9
2026-05-26T08:00:30Z,EAF-01,1536.66,49.97,52869.96
2026-05-26T08:00:31Z,EAF-01,1506.28,47.43,53251.56
2026-05-26T08:00:32Z,EAF-01,1544.15,40.43,50892.47
2026-05-26T08:00:33Z,EAF-01,1529.61,42.81,50677.51
2026-05-26T08:00:34Z,EAF-01,1502.9,43.85,52765.81
2026-05-26T08:00:35Z,EAF-01,1539.68,47.86,50495.85
2026-05-26T08:00:36Z,EAF-01,1544.5,47.69,53223.7
2026-05-26T08:00:37Z,EAF-01,1537.79,47.89,53491.49
2026-05-26T08:00:38Z,EAF-01,1548.16,43.27,52844.28
2026-05-26T08:00:39Z,EAF-01,1510.62,41.24,53108.8
2026-05-26T08:00:40Z,EAF-01,1519.04,46.15,53124.43
2026-05-26T08:00:41Z,EAF-01,1533.27,47.12,53298.06
2026-05-26T08:00:42Z,EAF-01,1527.58,47.69,50274.86
2026-05-26T08:00:43Z,EAF-01,1548.07,41.14,53767.07
2026-05-26T08:00:44Z,EAF-01,1501.06,40.72,53063.51
2026-05-26T08:00:45Z,EAF-01,1505.28,40.03,51677.46
2026-05-26T08:00:46Z,EAF-01,1501.07,47.74,52416.17
2026-05-26T08:00:47Z,EAF-01,1506.42,47.68,53558.88
2026-05-26T08:00:48Z,EAF-01,1541.47,46.52,54547.42
2026-05-26T08:00:49Z,EAF-01,1537.02,48.33,53069.6
2026-05-26T08:00:50Z,EAF-01,1547.42,46.42,54800.09
2026-05-26T08:00:51Z,EAF-01,1514.35,40.62,54275.67
2026-05-26T08:00:52Z,EAF-01,1533.06,42.02,54940.44
2026-05-26T08:00:53Z,EAF-01,1544.38,45.41,53212.32
2026-05-26T08:00:54Z,EAF-01,1545.21,43.92,53853.84
2026-05-26T08:00:55Z,EAF-01,1508.25,40.37,50892.31
2026-05-26T08:00:56Z,EAF-01,1528.29,44.74,52134.49
2026-05-26T08:00:57Z,EAF-01,1509.02,46.16,50469.76
2026-05-26T08:00:58Z,EAF-01,1543.41,49.24,54492.63
2026-05-26T08:00:59Z,EAF-01,1547.48,44.37,53025.88
2026-05-26T08:01:00Z,EAF-01,1519.06,41.82,50422.66
2026-05-26T08:01:01Z,EAF-01,1542.43,45.91,54614.53
2026-05-26T08:01:02Z,EAF-01,1519.17,43.27,51201.03
2026-05-26T08:01:03Z,EAF-01,1518.86,43.53,51812.46
2026-05-26T08:01:04Z,EAF-01,1537.3,41.95,52761.62
2026-05-26T08:01:05Z,EAF-01,1525.06,44.07,54334.13
2026-05-26T08:01:06Z,EAF-01,1520.7,46.47,50160.96
2026-05-26T08:01:07Z,EAF-01,1513.77,46.9,51394.96
2026-05-26T08:01:08Z,EAF-01,1511.7,41.83,53915.05
2026-05-26T08:01:09Z,EAF-01,1509.67,46.17,53295.58
2026-05-26T08:01:10Z,EAF-01,1544.13,43.31,54676.17
2026-05-26T08:01:11Z,EAF-01,1535.16,42.04,52198.85
2026-05-26T08:01:12Z,EAF-01,1534.91,49.24,53461.39
2026-05-26T08:01:13Z,EAF-01,1532.32,45.8,53377.95
2026-05-26T08:01:14Z,EAF-01,1518.44,45.59,51619.09
2026-05-26T08:01:15Z,EAF-01,1521.79,41.19,53728.62
2026-05-26T08:01:16Z,EAF-01,1506.07,46.56,51185.05
2026-05-26T08:01:17Z,EAF-01,1521.19,43.83,50949.35
2026-05-26T08:01:18Z,EAF-01,1539.99,45.06,50331.85
2026-05-26T08:01:19Z,EAF-01,1511.37,48.08,54786.02
2026-05-26T08:01:20Z,EAF-01,1547.25,48.01,51055.84
2026-05-26T08:01:21Z,EAF-01,1538.29,48.33,54734.17
2026-05-26T08:01:22Z,EAF-01,1532.08,46.12,50873.43
2026-05-26T08:01:23Z,EAF-01,1513.69,42.31,54486.89
2026-05-26T08:01:24Z,EAF-01,1534.59,49.18,54329.74
2026-05-26T08:01:25Z,EAF-01,1530.05,40.03,50748.09
2026-05-26T08:01:26Z,EAF-01,1521.75,48.96,50722.98
2026-05-26T08:01:27Z,EAF-01,1540.52,41.77,53173.48
2026-05-26T08:01:28Z,EAF-01,1724.34,78.25,61848.06
2026-05-26T08:01:29Z,EAF-01,1510.21,47.01,52638.4
2026-05-26T08:01:30Z,EAF-01,1522.93,43.61,52411.17
2026-05-26T08:01:31Z,EAF-01,1542.94,45.95,52045.98
2026-05-26T08:01:32Z,EAF-01,1503.2,43.58,54149.05
2026-05-26T08:01:33Z,EAF-01,1516.6,40.34,52817.91
2026-05-26T08:01:34Z,EAF-01,1537.83,47.93,52735.88
2026-05-26T08:01:35Z,EAF-01,1503.06,40.89,53770.91
2026-05-26T08:01:36Z,EAF-01,1518.72,41.85,54252.25
2026-05-26T08:01:37Z,EAF-01,1540.97,43.04,51798.68
2026-05-26T08:01:38Z,EAF-01,1514.38,42.03,52539.31
2026-05-26T08:01:39Z,EAF-01,1540.91,42.46,54266.97
2026-05-26T08:01:40Z,EAF-01,1508.72,44.16,52291.05
2026-05-26T08:01:41Z,EAF-01,1507.79,40.75,51124.99
2026-05-26T08:01:42Z,EAF-01,1503.51,45.12,53828.81
2026-05-26T08:01:43Z,EAF-01,1503.19,42.57,53406.3
2026-05-26T08:01:44Z,EAF-01,1533.04,43.83,50397.47
2026-05-26T08:01:45Z,EAF-01,1545.03,43.01,54244.39
